0.458,0.057,0.024,0.025,0.018,0.037,0.029,0.059,0.209,0.084
0.066,0.46,0.016,0.037,0.022,0.034,0.045,0.052,0.095,0.173
0.115,0.066,0.206,0.079,0.092,0.089,0.144,0.089,0.068,0.052
0.06,0.089,0.081,0.166,0.045,0.19,0.179,0.049,0.06,0.081
0.063,0.041,0.1,0.068,0.23,0.082,0.199,0.131,0.035,0.051
0.055,0.063,0.083,0.121,0.076,0.276,0.116,0.088,0.069,0.053
0.03,0.052,0.068,0.097,0.084,0.078,0.465,0.049,0.031,0.046
0.053,0.061,0.052,0.049,0.06,0.086,0.068,0.404,0.051,0.116
0.139,0.077,0.009,0.024,0.006,0.034,0.023,0.021,0.555,0.112
0.063,0.201,0.01,0.02,0.027,0.029,0.059,0.059,0.111,0.421
